date,price,slug,question
2023-12-03 00:00:00+00:00,0.23,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-04 00:00:00+00:00,0.18,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-05 00:00:00+00:00,0.21,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-06 00:00:00+00:00,0.205,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-07 00:00:00+00:00,0.195,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-08 00:00:00+00:00,0.2,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-09 00:00:00+00:00,0.135,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-10 00:00:00+00:00,0.135,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-11 00:00:00+00:00,0.135,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-12 00:00:00+00:00,0.135,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-13 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-14 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-15 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-16 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-17 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-18 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-19 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-20 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-21 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-22 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-23 00:00:00+00:00,0.125,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-24 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-25 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-26 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-27 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-28 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-29 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-30 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2023-12-31 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-01 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-02 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-03 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-04 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-05 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-06 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-07 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-08 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-09 00:00:00+00:00,0.105,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-10 00:00:00+00:00,0.5,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-11 00:00:00+00:00,0.5,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-12 00:00:00+00:00,0.5,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-13 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-14 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-15 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-16 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-17 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-18 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-19 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-20 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-21 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-22 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-23 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-24 00:00:00+00:00,0.35,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-25 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-26 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-27 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-28 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-29 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-30 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-01-31 00:00:00+00:00,0.45,opensea-token-by-may-1,OpenSea token by May 1?
2024-02-01 00:00:00+00:00,0.455,opensea-token-by-may-1,OpenSea token by May 1?
2024-02-02 00:00:00+00:00,0.455,opensea-token-by-may-1,OpenSea token by May 1?
2024-02-03 00:00:00+00:00,0.43,opensea-token-by-may-1,OpenSea token by May 1?
